id,name,is_closed,review_count,categories,rating,location,display_phone,distance,latitude,longitude
bM_x9vvGk8bKG0bUy414ig,Good Behaviour,False,11,Sandwiches,4.5,"1324A Gerrard Street E,Toronto,M4L 1Z1,ON,CA",+1 416-463-8800,849.2026845221632,43.671626409087494,-79.32564631365352
lKZnD7auRvYBS-XwhMbm5Q,Alex Farm Products,False,11,Cheese Shops,3.5,"1965 Queen St E,Toronto,M4L 1H9,ON,CA",+1 416-690-3600,1535.999027633411,43.6695,-79.30147
pW5WelrsBXP0Qf_RCezk6g,Vienna Fine Foods,False,16,Delis,4.0,"1050 Birchmount Road,Scarborough,M1K 1S4,ON,CA",+1 416-759-4481,8288.11431333299,43.7338749,-79.279494
YDu8Td7g0yXXgov3NlcvmQ,Masellis Supermarket,False,21,Grocery,5.0,"906 Danforth Avenue,Toronto,M4J 1L9,ON,CA",+1 416-465-7901,2280.6029490962173,43.68038,-79.33905
udxG8X1JkGfIJl8fWkMlkg,Jinglepear Deli,False,1,Cheese Shops,5.0,"245 Greenwood Avenue,Toronto,M4L 2R4,ON,CA",+1 647-333-8346,837.8423560202796,43.67072,-79.32766
cmdi74TvO7ASV9NBfMmkbg,Courage Foods,False,23,Grocery,4.5,"976 Kingston Road,Toronto,M4E 1S9,ON,CA",+1 416-693-2233,3161.597918390537,43.6806934,-79.28677259999999
kKNauD7d3HOvumRV7JIAfg,Knuckle Sandwich,False,119,Poutineries,4.0,"969 Coxwell Avenue,Toronto,M4C 3G4,ON,CA",+1 647-748-7999,3516.107671220289,43.69626,-79.3285
tE88d-oHmNngAZNdD9EHjg,Avenue Open Kitchen,False,145,Diners,4.5,"7 Camden Street,Toronto,M5V 1V2,ON,CA",+1 416-504-7131,6489.702717044152,43.647147,-79.3962388
jd5TnsyxnIJ6ct3KNSMx7A,Farm Boy,False,19,Grocery,4.0,"777 Bay Street,Toronto,M5B 2H4,ON,CA",+1 416-979-7367,5225.7759677240065,43.6606451,-79.3853814
hR6C90yCRMujQqb4m4HVWA,Royal Beef,False,28,Meat Shops,4.5,"1968 Danforth Avenue,Toronto,M4C 1J6,ON,CA",+1 416-421-1029,2281.5049116072855,43.68549,-79.31499
FVMsFMfPkzQn7bLXZ8d6aA,When The Pig Came Home,False,73,Delis,4.5,"903 Coxwell Ave,Toronto,M4C 2T9,ON,CA",+1 647-345-9001,1643.8880199037592,43.69404,-79.3276
02Ycww2etUAxorZb5gIM8Q,Tre Mari Bakery,False,94,Delis,4.5,"213 Oak Park Avenue,East York,M4C 4N2,ON,CA",+1 416-654-8960,600.1521333713055,43.69388,-79.31004
m87_nliXbYEQ0wlrOMIpJw,Uncle Sid’s Deli,False,5,Cheese Shops,5.0,"1985 Queen Street E,Toronto,M4L 1J1,ON,CA",+1 416-516-2327,1481.7430836888452,43.6703271666323,-79.3014545530016
ifbWg2hOdfxbpVAPOcbzQw,Chicago Bakery and Deli,False,7,Grocery,3.5,"1716 Danforth Avenue,Toronto,M4C 1H8,ON,CA",+1 416-588-2001,2647.70852726647,43.68436,-79.32021
A-QlS6_vpJI_Yi67AyNJLw,Schmaltz Appetizing,False,69,Delis,4.0,"93 Front St E,Toronto,M5E 1C3,ON,CA",+1 647-350-4261,2765.5524463906395,43.64914,-79.37157
LiY0vRXMWrjUrXQr2Z_D4A,Pancer's Original Deli,False,99,Polish,4.5,"5 Hastings Avenue,Toronto,M4L 2L1,ON,CA",+1 416-636-1230,7762.62994993588,43.66381,-79.32893
VS5zMLXSGAZiTXqOfbTA3A,St Clair Delicatessen,False,2,Meat Shops,4.5,"1513 Gerrard Street E,Toronto,M4L 2A4,ON,CA",+1 416-656-3980,1818.9725929866734,43.67259,-79.31941
TZV9-wFayjwO1Bz6yStooA,Elm Street Italian Deli,False,31,Sandwiches,4.5,"913 Queen Street E,Toronto,M4M 1J4,ON,CA",,5332.818300015432,43.660616433760254,-79.34148396015718
PFHe1blTy2yPRpDk_OIrTw,Benna's Bakery & Deli,False,25,Delis,4.0,"15 Elm Street,Toronto,M5G 1H1,ON,CA",+1 416-534-0031,3137.7402176480523,43.6575780313391,-79.382470920682
QUlwzBdA1zzzj-sVDJ3WMw,Lambo's Deli,False,43,Salad,4.0,"93 Front Street E,Toronto,M5E 0A3,ON,CA",+1 416-703-3688,3510.862776631373,43.64869173052196,-79.3715454
zEwQJl9haP5BYIl0peOpGA,Sugo,False,286,Sandwiches,4.5,"1324A Gerrard Street E,Toronto,M4L 1Z1,ON,CA",+1 416-535-1717,1498.6629509091422,43.671626409087494,-79.32564631365352
I5QklsBP4IWTbfeJFoGGZQ,Kingsway Meat Products & Deli,False,15,Cheese Shops,4.0,"1965 Queen St E,Toronto,M4L 1H9,ON,CA",+1 416-762-5365,3666.873625445201,43.6695,-79.30147
ppINvSvnpppdPo3Np61qdA,Good Behaviour,False,48,Delis,4.5,"1050 Birchmount Road,Scarborough,M1K 1S4,ON,CA",+1 416-537-8800,913.5514325875646,43.7338749,-79.279494
_eRcc1OFDbi3fnVBskXP9g,Zelden's Deli and Desserts,False,37,Grocery,3.5,"906 Danforth Avenue,Toronto,M4J 1L9,ON,CA",+1 647-347-3474,4544.355963431696,43.68038,-79.33905
vPh2rEV4EB-K72THFiJlBw,Vilda's,False,12,Cheese Shops,4.5,"245 Greenwood Avenue,Toronto,M4L 2R4,ON,CA",+1 416-534-3333,3255.124428583302,43.67072,-79.32766
ptmG_KjwGVszU0sPpFGXJQ,Scheffler's Delicatessen,False,26,Grocery,4.5,"976 Kingston Road,Toronto,M4E 1S9,ON,CA",+1 416-364-2806,6497.010619239631,43.6806934,-79.28677259999999
lCjPw8i-bCAd8_W3yzQa8Q,The Sweet Potato,False,61,Poutineries,4.5,"969 Coxwell Avenue,Toronto,M4C 3G4,ON,CA",+1 416-762-4848,1884.8412529709317,43.69626,-79.3285
UNnYvWgV7D32mHWQfBg2mQ,George's Deli & BBQ,False,29,Diners,4.0,"7 Camden Street,Toronto,M5V 1V2,ON,CA",+1 416-536-8494,2905.234242497357,43.647147,-79.3962388
LGWIIc5JNNqz3wzwiWMfIA,Macelleria Venezia,False,2,Grocery,3.0,"777 Bay Street,Toronto,M5B 2H4,ON,CA",+1 416-531-2522,1900.3066992708527,43.6606451,-79.3853814
wbBxCkhmz4bXbKb7PmXE2Q,Vince Gasparro's Meat Market,False,66,Meat Shops,4.5,"1968 Danforth Avenue,Toronto,M4C 1J6,ON,CA",+1 416-534-7122,2030.6682038494237,43.68549,-79.31499
xWlb7E10Ysb8PxM0eciecA,Oak Park Deli,False,24,Delis,4.5,"903 Coxwell Ave,Toronto,M4C 2T9,ON,CA",+1 416-424-3354,3135.2512742615213,43.69404,-79.3276
IVnLsgz_qo8NWVhR09SF3Q,East York Deli,False,2,Delis,5.0,"213 Oak Park Avenue,East York,M4C 4N2,ON,CA",+1 416-429-3663,3197.3371474984538,43.69388,-79.31004
VmIWtyejlvSOIDoBGztNag,Casa Mia Delicatessen & Fine Foods,False,6,Cheese Shops,3.5,"1985 Queen Street E,Toronto,M4L 1J1,ON,CA",+1 647-349-1340,1383.4985200935464,43.6703271666323,-79.3014545530016
0bWa6gq8KST_Gopiy5klcA,Plank Road Market,False,8,Grocery,4.5,"1716 Danforth Avenue,Toronto,M4C 1H8,ON,CA",+1 416-463-5474,2018.9789245935535,43.68436,-79.32021
ptmG_KjwGVszU0sPpFGXJQ,Scheffler's Delicatessen,False,26,Delis,4.5,"93 Front St E,Toronto,M5E 1C3,ON,CA",+1 416-364-2806,4750.874566325596,43.64914,-79.37157
-ug8U8rDNpW5s_4qCowtzg,Hastings Snack Bar,False,43,Polish,4.5,"5 Hastings Avenue,Toronto,M4L 2L1,ON,CA",+1 647-850-9260,946.0044248009331,43.66381,-79.32893
RZ48zp2J2SWUy-lZ4PHZrw,Sanagan's Meat Locker,False,7,Meat Shops,4.5,"1513 Gerrard Street E,Toronto,M4L 2A4,ON,CA",+1 416-593-9747,736.9486275966499,43.67259,-79.31941
oMgDbkk0hlPYFUmwAOVjgQ,Leslieville Pumps,False,122,Sandwiches,3.5,"913 Queen Street E,Toronto,M4M 1J4,ON,CA",+1 416-465-1313,2012.7445519465678,43.660616433760254,-79.34148396015718
cUoibCGFcHvtwWGDRWBj1A,Stack'd Deli Kitchen,False,5,Delis,5.0,"15 Elm Street,Toronto,M5G 1H1,ON,CA",,4750.699638117316,43.6575780313391,-79.382470920682
TZV9-wFayjwO1Bz6yStooA,Elm Street Italian Deli,False,31,Salad,4.5,"93 Front Street E,Toronto,M5E 0A3,ON,CA",,5298.762059287966,43.64869173052196,-79.3715454
bM_x9vvGk8bKG0bUy414ig,Good Behaviour,False,11,Sandwiches,4.5,"1324A Gerrard Street E,Toronto,M4L 1Z1,ON,CA",+1 416-463-8800,877.5420050412135,43.671626409087494,-79.32564631365352
lKZnD7auRvYBS-XwhMbm5Q,Alex Farm Products,False,11,Cheese Shops,3.5,"1965 Queen St E,Toronto,M4L 1H9,ON,CA",+1 416-690-3600,1343.351946505352,43.6695,-79.30147
pW5WelrsBXP0Qf_RCezk6g,Vienna Fine Foods,False,16,Delis,4.0,"1050 Birchmount Road,Scarborough,M1K 1S4,ON,CA",+1 416-759-4481,8125.07700213427,43.7338749,-79.279494
YDu8Td7g0yXXgov3NlcvmQ,Masellis Supermarket,False,21,Grocery,5.0,"906 Danforth Avenue,Toronto,M4J 1L9,ON,CA",+1 416-465-7901,2326.2074766612354,43.68038,-79.33905
udxG8X1JkGfIJl8fWkMlkg,Jinglepear Deli,False,1,Cheese Shops,5.0,"245 Greenwood Avenue,Toronto,M4L 2R4,ON,CA",+1 647-333-8346,909.2271094904386,43.67072,-79.32766
cmdi74TvO7ASV9NBfMmkbg,Courage Foods,False,23,Grocery,4.5,"976 Kingston Road,Toronto,M4E 1S9,ON,CA",+1 416-693-2233,2961.8894221113655,43.6806934,-79.28677259999999
kKNauD7d3HOvumRV7JIAfg,Knuckle Sandwich,False,119,Poutineries,4.0,"969 Coxwell Avenue,Toronto,M4C 3G4,ON,CA",+1 647-748-7999,3451.1026962808905,43.69626,-79.3285
hR6C90yCRMujQqb4m4HVWA,Royal Beef,False,28,Diners,4.5,"7 Camden Street,Toronto,M5V 1V2,ON,CA",+1 416-421-1029,2153.5909746461834,43.647147,-79.3962388
tE88d-oHmNngAZNdD9EHjg,Avenue Open Kitchen,False,145,Grocery,4.5,"777 Bay Street,Toronto,M5B 2H4,ON,CA",+1 416-504-7131,6683.640613965902,43.6606451,-79.3853814
jd5TnsyxnIJ6ct3KNSMx7A,Farm Boy,False,19,Meat Shops,4.0,"1968 Danforth Avenue,Toronto,M4C 1J6,ON,CA",+1 416-979-7367,5405.551241976052,43.68549,-79.31499
ptmG_KjwGVszU0sPpFGXJQ,Scheffler's Delicatessen,False,26,Delis,4.5,"903 Coxwell Ave,Toronto,M4C 2T9,ON,CA",+1 416-364-2806,654.8421925562401,43.69404,-79.3276
TZV9-wFayjwO1Bz6yStooA,Elm Street Italian Deli,False,31,Delis,4.5,"213 Oak Park Avenue,East York,M4C 4N2,ON,CA",,668.9246110230355,43.69388,-79.31004
gzomja0V-gAHJckvwwwFCQ,Shopsy's Deli & Restaurants,False,40,Cheese Shops,3.0,"1985 Queen Street E,Toronto,M4L 1J1,ON,CA",+1 416-365-3354,571.5693547088496,43.6703271666323,-79.3014545530016
mpDcuUs6dB5uBsYVKDWCNQ,Druxy's Famous Deli,False,4,Grocery,4.0,"1716 Danforth Avenue,Toronto,M4C 1H8,ON,CA",+1 416-366-9797,604.5235422974729,43.68436,-79.32021
tE88d-oHmNngAZNdD9EHjg,Avenue Open Kitchen,False,145,Delis,4.5,"93 Front St E,Toronto,M5E 1C3,ON,CA",+1 416-504-7131,1728.2935464706266,43.64914,-79.37157
Olp4uGp0MZEAScKtwWtQYQ,Jaspers Deli,False,9,Polish,4.0,"5 Hastings Avenue,Toronto,M4L 2L1,ON,CA",+1 416-368-7662,914.1084896035028,43.66381,-79.32893
cUoibCGFcHvtwWGDRWBj1A,Stack'd Deli Kitchen,False,5,Meat Shops,5.0,"1513 Gerrard Street E,Toronto,M4L 2A4,ON,CA",,654.5132973291579,43.67259,-79.31941
GTNhbajbPNao5ITndlYy6Q,Sanagan's Meat Locker,False,124,Sandwiches,4.5,"913 Queen Street E,Toronto,M4M 1J4,ON,CA",+1 416-593-9747,1949.5023639206336,43.660616433760254,-79.34148396015718
qk09cLxOZBeKsbxQiJD6rQ,Druxy's Famous Deli,False,15,Delis,3.0,"15 Elm Street,Toronto,M5G 1H1,ON,CA",+1 416-367-3904,73.0772119584599,43.6575780313391,-79.382470920682
jd5TnsyxnIJ6ct3KNSMx7A,Farm Boy,False,19,Salad,4.0,"93 Front Street E,Toronto,M5E 0A3,ON,CA",+1 416-979-7367,1017.0326876279563,43.64869173052196,-79.3715454
T-a4HuTSELZ3qm_nos_Qtg,The New Yorker Deli,False,76,Sandwiches,3.0,"1324A Gerrard Street E,Toronto,M4L 1Z1,ON,CA",+1 416-923-3354,1964.7453783148103,43.671626409087494,-79.32564631365352
U2xCmkTZSIqSLU-UA3L_sg,Longo's,False,103,Cheese Shops,4.0,"1965 Queen St E,Toronto,M4L 1H9,ON,CA",+1 416-366-1717,1228.3317734236223,43.6695,-79.30147
c35qzLN6ItDpVIoj2uQW4Q,Ravi Soups,False,371,Delis,4.5,"1050 Birchmount Road,Scarborough,M1K 1S4,ON,CA",+1 647-435-8365,1381.5978495838547,43.7338749,-79.279494
53GguDU6v46zPJTL3CZl5g,Loblaws,False,211,Grocery,4.0,"906 Danforth Avenue,Toronto,M4J 1L9,ON,CA",+1 416-593-6154,1016.2981171477547,43.68038,-79.33905
jCgc74lRwBDU5X7-z1Br5Q,St James Town Steak & Chops,False,39,Cheese Shops,4.0,"245 Greenwood Avenue,Toronto,M4L 2R4,ON,CA",+1 416-925-7665,1519.5044734217233,43.67072,-79.32766
17blokEfgkZCXa9tJ6XHuQ,Marcello's Market & Deli,False,11,Grocery,3.5,"976 Kingston Road,Toronto,M4E 1S9,ON,CA",+1 647-348-8865,688.2477490762126,43.6806934,-79.28677259999999
Gq5Vwth3qf8lcz_kmsCYvg,Pumpernickel's,False,30,Poutineries,3.0,"969 Coxwell Avenue,Toronto,M4C 3G4,ON,CA",+1 416-863-9880,641.0839931440337,43.69626,-79.3285
QUlwzBdA1zzzj-sVDJ3WMw,Lambo's Deli,False,43,Diners,4.0,"7 Camden Street,Toronto,M5V 1V2,ON,CA",+1 416-703-3688,2923.063180595346,43.647147,-79.3962388
y7lhU3dl8cSvIOgKVrKGlw,Grand Cru Deli,False,10,Grocery,4.0,"777 Bay Street,Toronto,M5B 2H4,ON,CA",+1 416-551-9221,1279.5540574579866,43.6606451,-79.3853814
7g03Bv-yYVJHzMD_YKqBQg,Bagel & Co,False,23,Meat Shops,4.0,"1968 Danforth Avenue,Toronto,M4C 1J6,ON,CA",+1 416-365-0904,642.8704784256602,43.68549,-79.31499
TZV9-wFayjwO1Bz6yStooA,Elm Street Italian Deli,False,31,Delis,4.5,"903 Coxwell Ave,Toronto,M4C 2T9,ON,CA",,705.3842150987806,43.69404,-79.3276
ptmG_KjwGVszU0sPpFGXJQ,Scheffler's Delicatessen,False,26,Delis,4.5,"213 Oak Park Avenue,East York,M4C 4N2,ON,CA",+1 416-364-2806,1813.6437111257237,43.69388,-79.31004
tE88d-oHmNngAZNdD9EHjg,Avenue Open Kitchen,False,145,Cheese Shops,4.5,"1985 Queen Street E,Toronto,M4L 1J1,ON,CA",+1 416-504-7131,2258.135893279907,43.6703271666323,-79.3014545530016
T-a4HuTSELZ3qm_nos_Qtg,The New Yorker Deli,False,76,Grocery,3.0,"1716 Danforth Avenue,Toronto,M4C 1H8,ON,CA",+1 416-923-3354,888.8068205202036,43.68436,-79.32021
jd5TnsyxnIJ6ct3KNSMx7A,Farm Boy,False,19,Delis,4.0,"93 Front St E,Toronto,M5E 1C3,ON,CA",+1 416-979-7367,490.0545976160148,43.64914,-79.37157
53GguDU6v46zPJTL3CZl5g,Loblaws,False,211,Polish,4.0,"5 Hastings Avenue,Toronto,M4L 2L1,ON,CA",+1 416-593-6154,184.60494090286508,43.66381,-79.32893
gzomja0V-gAHJckvwwwFCQ,Shopsy's Deli & Restaurants,False,40,Meat Shops,3.0,"1513 Gerrard Street E,Toronto,M4L 2A4,ON,CA",+1 416-365-3354,1435.5729127821128,43.67259,-79.31941
mpDcuUs6dB5uBsYVKDWCNQ,Druxy's Famous Deli,False,4,Sandwiches,4.0,"913 Queen Street E,Toronto,M4M 1J4,ON,CA",+1 416-366-9797,1729.1746841492813,43.660616433760254,-79.34148396015718
_eRcc1OFDbi3fnVBskXP9g,Zelden's Deli and Desserts,False,37,Delis,3.5,"15 Elm Street,Toronto,M5G 1H1,ON,CA",+1 647-347-3474,2861.8606015875707,43.6575780313391,-79.382470920682
GTNhbajbPNao5ITndlYy6Q,Sanagan's Meat Locker,False,124,Salad,4.5,"93 Front Street E,Toronto,M5E 0A3,ON,CA",+1 416-593-9747,1919.8129999808145,43.64869173052196,-79.3715454
ManqIzD8g7_mzzb_rY4iGw,Grandma Loves You,False,76,Sandwiches,5.0,"1324A Gerrard Street E,Toronto,M4L 1Z1,ON,CA",+1 416-925-5547,1757.9367611994692,43.671626409087494,-79.32564631365352
pW5WelrsBXP0Qf_RCezk6g,Vienna Fine Foods,False,16,Cheese Shops,4.0,"1965 Queen St E,Toronto,M4L 1H9,ON,CA",+1 416-759-4481,11247.608763507953,43.6695,-79.30147
A-QlS6_vpJI_Yi67AyNJLw,Schmaltz Appetizing,False,69,Delis,4.0,"1050 Birchmount Road,Scarborough,M1K 1S4,ON,CA",+1 647-350-4261,2767.758935329213,43.7338749,-79.279494
Olp4uGp0MZEAScKtwWtQYQ,Jaspers Deli,False,9,Grocery,4.0,"906 Danforth Avenue,Toronto,M4J 1L9,ON,CA",+1 416-368-7662,1890.3548891766548,43.68038,-79.33905
jCgc74lRwBDU5X7-z1Br5Q,St James Town Steak & Chops,False,39,Cheese Shops,4.0,"245 Greenwood Avenue,Toronto,M4L 2R4,ON,CA",+1 416-925-7665,944.0276797573164,43.67072,-79.32766
lDpVyjENOz_qbxbRoyBi8w,Black Camel,False,382,Grocery,4.5,"976 Kingston Road,Toronto,M4E 1S9,ON,CA",+1 416-929-7518,1653.8190993719409,43.6806934,-79.28677259999999
cUoibCGFcHvtwWGDRWBj1A,Stack'd Deli Kitchen,False,5,Poutineries,5.0,"969 Coxwell Avenue,Toronto,M4C 3G4,ON,CA",,1813.2511080477527,43.69626,-79.3285
I8UnsxFjZe_r9sU2jzO-vg,Pusateri's Fine Foods,False,125,Diners,3.0,"7 Camden Street,Toronto,M5V 1V2,ON,CA",+1 416-925-0583,1164.7367425981456,43.647147,-79.3962388
yW9IIc1cBIlFlbOG_1pp_Q,La Salumeria,False,41,Grocery,4.5,"777 Bay Street,Toronto,M5B 2H4,ON,CA",+1 416-486-8327,4391.181208248952,43.6606451,-79.3853814
QUlwzBdA1zzzj-sVDJ3WMw,Lambo's Deli,False,43,Meat Shops,4.0,"1968 Danforth Avenue,Toronto,M4C 1J6,ON,CA",+1 416-703-3688,2990.5371937564055,43.68549,-79.31499
TZV9-wFayjwO1Bz6yStooA,Elm Street Italian Deli,False,31,Delis,4.5,"903 Coxwell Ave,Toronto,M4C 2T9,ON,CA",,538.9107090834676,43.69404,-79.3276
ptmG_KjwGVszU0sPpFGXJQ,Scheffler's Delicatessen,False,26,Delis,4.5,"213 Oak Park Avenue,East York,M4C 4N2,ON,CA",+1 416-364-2806,1740.0378719435396,43.69388,-79.31004
tE88d-oHmNngAZNdD9EHjg,Avenue Open Kitchen,False,145,Cheese Shops,4.5,"1985 Queen Street E,Toronto,M4L 1J1,ON,CA",+1 416-504-7131,1320.5063200705288,43.6703271666323,-79.3014545530016
gzomja0V-gAHJckvwwwFCQ,Shopsy's Deli & Restaurants,False,40,Grocery,3.0,"1716 Danforth Avenue,Toronto,M4C 1H8,ON,CA",+1 416-365-3354,899.2869635715251,43.68436,-79.32021
T-a4HuTSELZ3qm_nos_Qtg,The New Yorker Deli,False,76,Delis,3.0,"93 Front St E,Toronto,M5E 1C3,ON,CA",+1 416-923-3354,1183.22984733294,43.64914,-79.37157
GTNhbajbPNao5ITndlYy6Q,Sanagan's Meat Locker,False,124,Polish,4.5,"5 Hastings Avenue,Toronto,M4L 2L1,ON,CA",+1 416-593-9747,989.8795971170017,43.66381,-79.32893
mpDcuUs6dB5uBsYVKDWCNQ,Druxy's Famous Deli,False,4,Meat Shops,4.0,"1513 Gerrard Street E,Toronto,M4L 2A4,ON,CA",+1 416-366-9797,1319.6622113146243,43.67259,-79.31941
jd5TnsyxnIJ6ct3KNSMx7A,Farm Boy,False,19,Sandwiches,4.0,"913 Queen Street E,Toronto,M4M 1J4,ON,CA",+1 416-979-7367,486.98426846158293,43.660616433760254,-79.34148396015718
Olp4uGp0MZEAScKtwWtQYQ,Jaspers Deli,False,9,Delis,4.0,"15 Elm Street,Toronto,M5G 1H1,ON,CA",+1 416-368-7662,1273.0665913193172,43.6575780313391,-79.382470920682
QUlwzBdA1zzzj-sVDJ3WMw,Lambo's Deli,False,43,Salad,4.0,"93 Front Street E,Toronto,M5E 0A3,ON,CA",+1 416-703-3688,2059.795687534698,43.64869173052196,-79.3715454
A-QlS6_vpJI_Yi67AyNJLw,Schmaltz Appetizing,False,69,Sandwiches,4.0,"1324A Gerrard Street E,Toronto,M4L 1Z1,ON,CA",+1 647-350-4261,2547.6697626778687,43.671626409087494,-79.32564631365352
ManqIzD8g7_mzzb_rY4iGw,Grandma Loves You,False,76,Cheese Shops,5.0,"1965 Queen St E,Toronto,M4L 1H9,ON,CA",+1 416-925-5547,2234.4132595037504,43.6695,-79.30147
c35qzLN6ItDpVIoj2uQW4Q,Ravi Soups,False,371,Delis,4.5,"1050 Birchmount Road,Scarborough,M1K 1S4,ON,CA",+1 647-435-8365,1151.5251570718326,43.7338749,-79.279494
U2xCmkTZSIqSLU-UA3L_sg,Longo's,False,103,Grocery,4.0,"906 Danforth Avenue,Toronto,M4J 1L9,ON,CA",+1 416-366-1717,1833.5266532107296,43.68038,-79.33905
cUoibCGFcHvtwWGDRWBj1A,Stack'd Deli Kitchen,False,5,Cheese Shops,5.0,"245 Greenwood Avenue,Toronto,M4L 2R4,ON,CA",,1739.7908568029131,43.67072,-79.32766
53GguDU6v46zPJTL3CZl5g,Loblaws,False,211,Grocery,4.0,"976 Kingston Road,Toronto,M4E 1S9,ON,CA",+1 416-593-6154,896.4510063962063,43.6806934,-79.28677259999999
y7lhU3dl8cSvIOgKVrKGlw,Grand Cru Deli,False,10,Poutineries,4.0,"969 Coxwell Avenue,Toronto,M4C 3G4,ON,CA",+1 416-551-9221,987.9959392384212,43.69626,-79.3285
lDpVyjENOz_qbxbRoyBi8w,Black Camel,False,382,Diners,4.5,"7 Camden Street,Toronto,M5V 1V2,ON,CA",+1 416-929-7518,2152.6490826014665,43.647147,-79.3962388
FVMsFMfPkzQn7bLXZ8d6aA,When The Pig Came Home,False,73,Grocery,4.5,"777 Bay Street,Toronto,M5B 2H4,ON,CA",+1 647-345-9001,6151.023307391014,43.6606451,-79.3853814
Gq5Vwth3qf8lcz_kmsCYvg,Pumpernickel's,False,30,Meat Shops,3.0,"1968 Danforth Avenue,Toronto,M4C 1J6,ON,CA",+1 416-863-9880,1108.015450479607,43.68549,-79.31499
TZV9-wFayjwO1Bz6yStooA,Elm Street Italian Deli,False,31,Delis,4.5,"903 Coxwell Ave,Toronto,M4C 2T9,ON,CA",,96.78637315845269,43.69404,-79.3276
ptmG_KjwGVszU0sPpFGXJQ,Scheffler's Delicatessen,False,26,Delis,4.5,"213 Oak Park Avenue,East York,M4C 4N2,ON,CA",+1 416-364-2806,1268.8769243367608,43.69388,-79.31004
tE88d-oHmNngAZNdD9EHjg,Avenue Open Kitchen,False,145,Cheese Shops,4.5,"1985 Queen Street E,Toronto,M4L 1J1,ON,CA",+1 416-504-7131,1536.3792659991948,43.6703271666323,-79.3014545530016
gzomja0V-gAHJckvwwwFCQ,Shopsy's Deli & Restaurants,False,40,Grocery,3.0,"1716 Danforth Avenue,Toronto,M4C 1H8,ON,CA",+1 416-365-3354,640.7745941428848,43.68436,-79.32021
mpDcuUs6dB5uBsYVKDWCNQ,Druxy's Famous Deli,False,4,Delis,4.0,"93 Front St E,Toronto,M5E 1C3,ON,CA",+1 416-366-9797,985.7187669145575,43.64914,-79.37157
jd5TnsyxnIJ6ct3KNSMx7A,Farm Boy,False,19,Polish,4.0,"5 Hastings Avenue,Toronto,M4L 2L1,ON,CA",+1 416-979-7367,439.253907651564,43.66381,-79.32893
Olp4uGp0MZEAScKtwWtQYQ,Jaspers Deli,False,9,Meat Shops,4.0,"1513 Gerrard Street E,Toronto,M4L 2A4,ON,CA",+1 416-368-7662,1093.682553736901,43.67259,-79.31941
T-a4HuTSELZ3qm_nos_Qtg,The New Yorker Deli,False,76,Sandwiches,3.0,"913 Queen Street E,Toronto,M4M 1J4,ON,CA",+1 416-923-3354,1399.768207870421,43.660616433760254,-79.34148396015718
GTNhbajbPNao5ITndlYy6Q,Sanagan's Meat Locker,False,124,Delis,4.5,"15 Elm Street,Toronto,M5G 1H1,ON,CA",+1 416-593-9747,1469.4899789476724,43.6575780313391,-79.382470920682
53GguDU6v46zPJTL3CZl5g,Loblaws,False,211,Salad,4.0,"93 Front Street E,Toronto,M5E 0A3,ON,CA",+1 416-593-6154,643.3925910308961,43.64869173052196,-79.3715454
